date,variant,variant_aggregated,parent,proportion,conf.high,conf.low
2023-08-27,EG.5.1.1,EG.5.1.1*,EG.5,14.26701571,NA,NA
2023-08-27,Other,Other,Other,4.057591623,NA,NA
2023-08-27,DV.7.1,DV.7.1*,Other,1.767015707,NA,NA
2023-08-27,EG.5.1,EG.5.1*,EG.5,14.46335079,NA,NA
2023-08-27,EG.5.1.3,EG.5.1.3*,EG.5,3.730366492,NA,NA
2023-08-27,EG.6.1,EG.6.1*,XBB.1.9,4.777486911,NA,NA
2023-08-27,FL.1.5.1,FL.1.5.1*,XBB.1.9,5.104712042,NA,NA
2023-08-27,FL.20,FL.20*,XBB.1.9,2.879581152,NA,NA
2023-08-27,FU.1,FU.1*,XBB.1.16,0.719895288,NA,NA
2023-08-27,GE.1,GE.1*,XBB.2.3,0.589005236,NA,NA
2023-08-27,GJ.1.2,GJ.1.2*,XBB.2.3,3.926701571,NA,NA
2023-08-27,GK.1,GK.1*,XBB.1.5,0.261780105,NA,NA
2023-08-27,GK.1.1,GK.1.1*,XBB.1.5,1.112565445,NA,NA
2023-08-27,GK.3.1,GK.3.1,XBB.1.5,0.130890052,NA,NA
2023-08-27,HK.3,HK.3*,EG.5,0.785340314,NA,NA
2023-08-27,HR.1,HR.1,XBB.1.5,0.261780105,NA,NA
2023-08-27,HV.1,HV.1*,EG.5,2.094240838,NA,NA
2023-08-27,JD.1.1,JD.1.1*,XBB.1.5,0.196335079,NA,NA
2023-08-27,JF.1,JF.1,XBB.1.16,1.112565445,NA,NA
2023-08-27,XBB.1.16,XBB.1.16*,XBB.1.16,13.87434555,NA,NA
2023-08-27,XBB.1.16.11,XBB.1.16.11,XBB.1.16,1.308900524,NA,NA
2023-08-27,XBB.1.16.6,XBB.1.16.6*,XBB.1.16,4.384816754,NA,NA
2023-08-27,XBB.1.5,XBB.1.5*,XBB.1.5,6.871727749,NA,NA
2023-08-27,XBB.1.9,XBB.1.9*,XBB.1.9,8.704188482,NA,NA
2023-08-27,XBB.2.3,XBB.2.3*,XBB.2.3,2.421465969,NA,NA
2023-08-27,EG.5,EG.5*,EG.5,0.196335079,NA,NA
2023-09-03,EG.5.1.1,EG.5.1.1*,EG.5,15.68095496,NA,NA
2023-09-03,Other,Other,Other,3.960933261,NA,NA
2023-09-03,DV.7.1,DV.7.1*,Other,2.604449267,NA,NA
2023-09-03,EG.5.1,EG.5.1*,EG.5,14.59576777,NA,NA
2023-09-03,EG.5.1.3,EG.5.1.3*,EG.5,5.534454693,NA,NA
2023-09-03,EG.6.1,EG.6.1*,XBB.1.9,4.774823657,NA,NA
2023-09-03,FL.1.5.1,FL.1.5.1*,XBB.1.9,5.805751492,NA,NA
2023-09-03,FL.20,FL.20*,XBB.1.9,2.278893109,NA,NA
2023-09-03,FU.1,FU.1*,XBB.1.16,0.759631036,NA,NA
2023-09-03,GE.1,GE.1*,XBB.2.3,0.868149756,NA,NA
2023-09-03,GJ.1.2,GJ.1.2*,XBB.2.3,3.201302225,NA,NA
2023-09-03,GK.1,GK.1*,XBB.1.5,0.271296799,NA,NA
2023-09-03,GK.1.1,GK.1.1*,XBB.1.5,0.542593597,NA,NA
2023-09-03,GK.3.1,GK.3.1,XBB.1.5,0.162778079,NA,NA
2023-09-03,HK.3,HK.3*,EG.5,1.302224634,NA,NA
2023-09-03,HR.1,HR.1,XBB.1.5,0.379815518,NA,NA
2023-09-03,HV.1,HV.1*,EG.5,4.395008139,NA,NA
2023-09-03,JD.1.1,JD.1.1*,XBB.1.5,0.379815518,NA,NA
2023-09-03,JF.1,JF.1,XBB.1.16,1.302224634,NA,NA
2023-09-03,XBB.1.16,XBB.1.16*,XBB.1.16,9.658166034,NA,NA
2023-09-03,XBB.1.16.11,XBB.1.16.11,XBB.1.16,1.682040152,NA,NA
2023-09-03,XBB.1.16.6,XBB.1.16.6*,XBB.1.16,3.960933261,NA,NA
2023-09-03,XBB.1.5,XBB.1.5*,XBB.1.5,7.270754205,NA,NA
2023-09-03,XBB.1.9,XBB.1.9*,XBB.1.9,5.263157895,NA,NA
2023-09-03,XBB.2.3,XBB.2.3*,XBB.2.3,2.658708627,NA,NA
2023-09-03,EG.5,EG.5*,EG.5,0.705371677,NA,NA
2023-09-10,EG.5.1.1,EG.5.1.1*,EG.5,15.6572454,NA,NA
2023-09-10,Other,Other,Other,3.409600718,NA,NA
2023-09-10,DV.7.1,DV.7.1*,Other,1.256168686,NA,NA
2023-09-10,EG.5.1,EG.5.1*,EG.5,13.23463437,NA,NA
2023-09-10,EG.5.1.3,EG.5.1.3*,EG.5,4.845222073,NA,NA
2023-09-10,EG.6.1,EG.6.1*,XBB.1.9,3.54419022,NA,NA
2023-09-10,FL.1.5.1,FL.1.5.1*,XBB.1.9,7.626738448,NA,NA
2023-09-10,FL.20,FL.20*,XBB.1.9,0.538358008,NA,NA
2023-09-10,FU.1,FU.1*,XBB.1.16,0.762673845,NA,NA
2023-09-10,GE.1,GE.1*,XBB.2.3,1.570210857,NA,NA
2023-09-10,GJ.1.2,GJ.1.2*,XBB.2.3,2.243158367,NA,NA
2023-09-10,GK.1,GK.1*,XBB.1.5,0.134589502,NA,NA
2023-09-10,GK.1.1,GK.1.1*,XBB.1.5,1.480484522,NA,NA
2023-09-10,GK.3.1,GK.3.1,XBB.1.5,0.358905339,NA,NA
2023-09-10,HK.3,HK.3*,EG.5,1.52534769,NA,NA
2023-09-10,HR.1,HR.1,XBB.1.5,0.179452669,NA,NA
2023-09-10,HV.1,HV.1*,EG.5,6.550022432,NA,NA
2023-09-10,JD.1.1,JD.1.1*,XBB.1.5,0.358905339,NA,NA
2023-09-10,JF.1,JF.1,XBB.1.16,1.794526694,NA,NA
2023-09-10,XBB.1.16,XBB.1.16*,XBB.1.16,11.88873934,NA,NA
2023-09-10,XBB.1.16.11,XBB.1.16.11,XBB.1.16,1.256168686,NA,NA
2023-09-10,XBB.1.16.6,XBB.1.16.6*,XBB.1.16,4.845222073,NA,NA
2023-09-10,XBB.1.5,XBB.1.5*,XBB.1.5,5.921938089,NA,NA
2023-09-10,XBB.1.9,XBB.1.9*,XBB.1.9,5.742485419,NA,NA
2023-09-10,XBB.2.3,XBB.2.3*,XBB.2.3,2.1982952,NA,NA
2023-09-10,EG.5,EG.5*,EG.5,1.076716016,NA,NA
2023-09-17,EG.5.1.1,EG.5.1.1*,EG.5,14.72099853,NA,NA
2023-09-17,Other,Other,Other,3.450807636,NA,NA
2023-09-17,DV.7.1,DV.7.1*,Other,1.688693098,NA,NA
2023-09-17,EG.5.1,EG.5.1*,EG.5,10.49926579,NA,NA
2023-09-17,EG.5.1.3,EG.5.1.3*,EG.5,4.552129222,NA,NA
2023-09-17,EG.6.1,EG.6.1*,XBB.1.9,3.193832599,NA,NA
2023-09-17,FL.1.5.1,FL.1.5.1*,XBB.1.9,6.350954479,NA,NA
2023-09-17,FL.20,FL.20*,XBB.1.9,0.183553598,NA,NA
2023-09-17,FU.1,FU.1*,XBB.1.16,0.624082232,NA,NA
2023-09-17,GE.1,GE.1*,XBB.2.3,0.624082232,NA,NA
2023-09-17,GJ.1.2,GJ.1.2*,XBB.2.3,3.12041116,NA,NA
