date,signal,"Central East, ex GTA","Central West, ex GTA",Eastern,GTA,North East,North West,South West
2022-10-26,1.13,0.89,1.13,1.25,1.14,0.68,0.52,0.67
2022-10-27,1.12,0.84,1.14,1.25,1.12,0.65,0.54,0.72
2022-10-28,1.11,0.8,1.15,1.25,1.09,0.62,0.57,0.77
2022-10-29,1.09,0.75,1.14,1.24,1.07,0.59,0.59,0.83
2022-10-30,1.07,0.71,1.13,1.24,1.04,0.57,0.62,0.87
2022-10-31,1.05,0.68,1.11,1.22,1.01,0.54,0.65,0.91
2022-11-01,1.02,0.64,1.07,1.2,0.98,0.51,0.68,0.94
2022-11-02,0.99,0.62,1.03,1.17,0.95,0.48,0.7,0.94
2022-11-03,0.96,0.59,0.97,1.14,0.92,0.46,0.73,0.92
2022-11-04,0.92,0.57,0.91,1.1,0.89,0.44,0.75,0.89
2022-11-05,0.89,0.55,0.84,1.06,0.86,0.42,0.77,0.84
2022-11-06,0.85,0.54,0.78,1.01,0.83,0.4,0.79,0.78
2022-11-07,0.82,0.52,0.72,0.97,0.8,0.38,0.81,0.72
2022-11-08,0.79,0.51,0.66,0.92,0.77,0.37,0.82,0.65
2022-11-09,0.76,0.5,0.61,0.88,0.75,0.35,0.83,0.59
2022-11-10,0.73,0.49,0.56,0.84,0.73,0.34,0.85,0.54
2022-11-11,0.7,0.48,0.52,0.8,0.71,0.33,0.86,0.49
2022-11-12,0.67,0.47,0.49,0.76,0.69,0.31,0.87,0.45
2022-11-13,0.65,0.47,0.46,0.73,0.67,0.3,0.88,0.41
2022-11-14,0.64,0.46,0.44,0.71,0.66,0.29,0.89,0.38
2022-11-15,0.62,0.45,0.42,0.68,0.65,0.29,0.9,0.36
2022-11-16,0.61,0.44,0.42,0.67,0.64,0.28,0.91,0.34
2022-11-17,0.61,0.43,0.42,0.66,0.64,0.27,0.92,0.33
2022-11-18,0.61,0.42,0.43,0.65,0.64,0.26,0.92,0.33
2022-11-19,0.61,0.41,0.44,0.65,0.64,0.26,0.93,0.34
2022-11-20,0.62,0.39,0.46,0.66,0.65,0.25,0.94,0.34
2022-11-21,0.63,0.38,0.48,0.66,0.66,0.24,0.95,0.36
2022-11-22,0.64,0.37,0.51,0.67,0.68,0.24,0.96,0.37
2022-11-23,0.66,0.37,0.54,0.69,0.7,0.24,0.98,0.39
2022-11-24,0.68,0.36,0.58,0.7,0.73,0.24,0.99,0.41
2022-11-25,0.7,0.35,0.62,0.72,0.75,0.24,1,0.44
2022-11-26,0.73,0.35,0.67,0.74,0.77,0.24,1.01,0.46
2022-11-27,0.75,0.34,0.71,0.76,0.8,0.25,1.03,0.49
2022-11-28,0.77,0.34,0.74,0.79,0.82,0.25,1.05,0.52
2022-11-29,0.79,0.34,0.77,0.81,0.83,0.26,1.07,0.54
2022-11-30,0.81,0.35,0.79,0.83,0.85,0.27,1.09,0.56
2022-12-01,0.82,0.35,0.8,0.85,0.87,0.29,1.11,0.58
2022-12-02,0.84,0.36,0.79,0.88,0.88,0.3,1.13,0.59
2022-12-03,0.86,0.37,0.78,0.9,0.91,0.32,1.16,0.6
2022-12-04,0.89,0.39,0.77,0.92,0.95,0.34,1.19,0.61
2022-12-05,0.92,0.41,0.75,0.95,1,0.37,1.22,0.61
2022-12-06,0.96,0.43,0.74,0.97,1.05,0.4,1.26,0.61
2022-12-07,0.99,0.45,0.72,1,1.09,0.43,1.3,0.61
2022-12-08,1.02,0.47,0.7,1.02,1.13,0.46,1.35,0.62
2022-12-09,1.04,0.5,0.68,1.05,1.16,0.49,1.41,0.62
2022-12-10,1.06,0.53,0.67,1.07,1.17,0.52,1.47,0.63
2022-12-11,1.07,0.57,0.66,1.1,1.18,0.55,1.54,0.64
2022-12-12,1.08,0.6,0.65,1.12,1.19,0.57,1.62,0.66
2022-12-13,1.1,0.64,0.65,1.15,1.2,0.59,1.71,0.69
2022-12-14,1.15,0.67,0.66,1.19,1.26,0.61,1.82,0.72
2022-12-15,1.22,0.71,0.68,1.23,1.36,0.61,1.93,0.76
2022-12-16,1.28,0.74,0.69,1.28,1.44,0.61,2.07,0.82
2022-12-17,1.33,0.78,0.71,1.32,1.49,0.61,2.21,0.89
2022-12-18,1.37,0.82,0.73,1.37,1.53,0.6,2.37,0.96
2022-12-19,1.43,0.85,0.74,1.43,1.6,0.58,2.54,1.05
2022-12-20,1.49,0.89,0.76,1.49,1.68,0.56,2.71,1.14
2022-12-21,1.56,0.92,0.8,1.54,1.75,0.54,2.88,1.24
2022-12-22,1.61,0.94,0.84,1.6,1.8,0.52,3.03,1.34
2022-12-23,1.66,0.97,0.89,1.66,1.83,0.49,3.15,1.43
2022-12-24,1.7,0.99,0.93,1.72,1.86,0.47,3.24,1.52
2022-12-25,1.73,1,0.98,1.78,1.88,0.45,3.29,1.59
2022-12-26,1.75,1.01,1.02,1.84,1.88,0.43,3.29,1.64
2022-12-27,1.77,1.02,1.05,1.9,1.88,0.41,3.25,1.66
2022-12-28,1.78,1.01,1.08,1.95,1.87,0.4,3.15,1.64
2022-12-29,1.78,1,1.1,2,1.85,0.39,3,1.59
2022-12-30,1.78,0.98,1.1,2.05,1.82,0.37,2.82,1.51
2022-12-31,1.76,0.96,1.1,2.09,1.78,0.37,2.61,1.4
2023-01-01,1.74,0.93,1.08,2.13,1.74,0.36,2.39,1.29
2023-01-02,1.71,0.91,1.07,2.16,1.69,0.35,2.17,1.17
2023-01-03,1.67,0.88,1.04,2.18,1.64,0.35,1.96,1.06
2023-01-04,1.63,0.85,1.02,2.2,1.58,0.35,1.76,0.95
2023-01-05,1.59,0.82,0.99,2.21,1.53,0.35,1.58,0.86
2023-01-06,1.54,0.79,0.97,2.21,1.48,0.35,1.42,0.77
